;Titulo;Sinopsis;Genero
1668;Death Valley;"
    
              Serie cómica de temática sobrenatural de la MTV, en la que, a modo de falso documental, un grupo de reporteros siguen a un equipo policial que se dedica a cazar todo tipo de criaturas sobrenaturales y terroríficas.Vampiros, zombies, hombres lobo... Todas las criaturas extrañas o de terror que puedas imaginar han acampado en San Fernando (Los Ángeles) y se dedican a atormentar a sus ciudadanos. Pueden encontrarse en cualquier parte, desde el set de una película porno en la que el actor principal se convierte en hombre lobo, hasta furgonetas de donación de sangre robadas por vampiros. Para eso está la Unidad Especial de No-Muertos de Los Ángeles, un equipo especializado en acabar con estas criaturas.Al mando de esta unidad está el capitán Frank Dashell (Bryan Callen, 'Resacón en Las Vegas', 'Warrior'), un ""tipo duro"" al que en realidad le aterran los seres a los que se enfrenta a diario, que junto a sus hombres recorrerá las calles de San Fernando derrotando a estos macabros monstruos. Entre sus compañeros se encuentran Billy Pierce (Bryce Johnson, 'Pequeñas mentirosas', 'Lonestar'), un oficial con más instintos de actor que de policía; Kirsten Landry (Caity Lotz, 'A por todas de nuevo, una vez más', 'Mad men'), una policía de aspecto dulce pero que sabe repartir leches; y John ""John-John"" Johnson (Texas Battle, 'Dragonball Evolution', 'Destino Final 3'), un oficial de mentalidad infantil al que le encanta aporrear zombies con su bate de beisbol.En su día a día deberán enfrentarse a complicadas situaciones en las que tendrán que arriesgar sus vidas. Todo marcado por una gran presencia de sangre, momentos de terror y mucha comedia negra.
    
      ";Comedia, Terror
1669;Deep Water;"
    
              Los detectives Tori Lustigman y Nick Manning  reciben un caso al que no están acostumbrados: un brutal homicidio en Bondi, Sydney. Allí comienza su investigación y descubren pruebas que sugieren que el asesinato está conectado con una serie de muertes, suicidios y desapariciones sin explicación que han ocurrido en todo el mundo en los años 80 y 90. Tori ve en el caso una pista para encontrar a su hermano desaparecido, y poco a poco, resolverlo comienza a convertirse en una obsesión, sobre todo cuando hallan algo más: todos los asesinatos tienen la misma firma y un ritual común. Llegados a este punto, los investigadores ponen en peligro la relación con sus seres queridos, su trabajo y su propia vida para conseguir desentrañar la verdad y descubrir quién es el culpable.Deep Water esta protagonizada por Noah Taylor (Juego de tronos, Charlie y la fábrica de chocolate) como Nick Manning, y Yael Stone (Orange is the new black) como la detective Tori Lustigman. El reparto lo completan Jeremy Lindsay Taylor (El diplomático), Danielle Cormack (Wentworth), Ben Oxenbould (Hey Dad..!), Dan Spielman (El último cazador), Craig McLachlan (Vecinos) y William McInnes (Blue Heelers). Shawn Seet es el director y Kris Wyld y Kym Goldsworthy son los guionistas de este drama australiano.
    
      ";Drama, Crimen, Suspense
1670;Deli Yürek;"
Deli Yürek es una miniserie turca. Después de completar su servicio militar, Yusuf regresa a su barrio y su familia y amigos le dan la bienvenida. De vuelta a casa, Yusuf vuelve a su trabajo de mecánico de coches en el taller en el que trabajaba. Allí, un día, la hija de una familia adinerada trata de dejar su coche accidentado.  Por otro lado, una red mafiosa que reside en el vecindario ronda a Yusuf. Así, le ofrencen una oportunidad para empezar una nueva vida y consigue mucho dinero; sin embargo, pronto se encontrará en medio de una emboscada...
    
      ";Drama, Acción
1671;Delicious;"
    
              Gina Benelli es una brillante cocinera que una vez estuvo casada con Leo Vincent, un gran empresario, chef y propietario de un hotel con quien tiene una hija adolescente llamada Teresa. La mayoría del éxito de Leo viene gracias al excepcional talento de Gina para la cocina así que ella nunca ha llegado a salir de su vida. Ahora Leo está casado con una joven encantadora llamada Sam que sospecha de que su marido está teniendo una aventura y no tarda en descubrir que sus sospechas son ciertas. La serie está protagonizada por Dawn French (Los mundos de Coraline, Las crónicas de Narnia) en el papel de Gina, Iain Glen (Juego de tronos) es Leo y Emilia Fox (El pianista) da vida a Sam. Completan el reparto Tanya Reynolds (Outlander), Ruairi O'Connor (What Richard Did), Sheila Hancock (El niño con el pijama de rayas), Kemi-Bo Jacobs (Objetivo: Londres) y Cesare Taurasi (Operación U.N.C.L.E.), entre otros.Delicious ha sido creada por Dan Sefton (Gates), que también es el guionista principal. Clare Kilner y John Hardwick son los directores de esta serie producida por Bandit Television para la cadena británica Sky1.
    
      ";Drama
1672;Demimonde;"
Una familia formada por una madre científica, su marido y su hija sufre un accidente de tráfico que deja a la primera en coma. Tras este terrible suceso, su hija decide retomar e investigar en los experimentos que la mujer guarda en su casa, transportándose de manera misteriosa a otro mundo en plena batalla contra una monstruosa y opresiva fuerza. Posteriormente, el padre sigue los pasos de su hija sumergiéndose en este nuevo lugar.Demimonde está creada y escrita por J.J. Abrams (Alias, Castle Rock).
";Ciencia ficción
1673;Descubriendo a Nina;"
Descubriendo a Nina es una comedia australiana que gira en torno a la vida tanto laboral como profesional  de la ginecóloga Nina Proudman. La serie, que hace mucho uso de flashbacks,  trata todos los aspectos que conciernen a la vida de los seres humanos, abarcando tanto malos como buenos momentos.
La vida de la ginecóloga es un tanto singular. Sus padres Darcy y Geraldine son los que tienen que lidiar continuamente con las aventuras en las que se sumerge su hija y con el desempeño de su profesión. Además Nina, por unas cosas u otras, siempre tiene algún lío amoroso. En su continua búsqueda del amor, todos los hombres que despiertan algún tipo de interés en la joven terminan convirtiéndose en amores imposibles.
Para la obstetra, el soporte que supone su extraordinaria familia es fundamental a pesar de que, cada vez con más frecuencia, las situaciones en la casa de los Proudman se vuelvan demasiado complicadas. La ficción mezcla continuamente situaciones dramáticas con situaciones cómicas.
";Comedia, Drama
1674;Detroiters;"
En Detroit, Michigan, conviven dos publicistas locales y mejores amigos, Sam y Tim. Estos, que se dedican a hacer anuncios locales de bajo presupuesto, tienen unas mayores aspiraciones, como las de crear un imperio de la publicidad local. La ambición por mejorar sus niveles de vida no les falla, al igual que la ciudad de Detroit tiene grandes planes de futuro para sí misma.Estos dos colegas hacen siempre todo unidos, pues el amor que se procesan está por encima de todo lo demás. Comparten un sueño y un cariño y respeto por su ciudad que no van a dejar escapar.Esta comedia de Comedy Central está protagonizada por Sam Richardson (Veep, Somos los Miller) y Tim Robinson (Saturday Night Live) y producida por Lorne Michaels (Saturday Night Live) y Jason Sudeikis (Colossal).
";Comedia
1675;Dharma & Greg;"
    
              Dharma es una instructora de yoga de espíritu abierto criada por padres hippies, mientras que Greg es un joven abogado conservador, licenciado en Harvard y con una cultura y unos puntos de vista totalmente diferentes a los de Dharma. Él es el yin. Ella es el yang. Y todo comienza en una primera cita... en la que acaban casados.
    
      ";Comedia
1676;Dig;"
    
              'Dig' gira en torno a la vida de Peter Connely, un agente del FBI que investiga crímenes relacionados con ciudadanos estadounidenses en el extranjero. Él tiene sede en Jerusalén y está a cargo del asesinato de una joven arqueóloga, el cual le conducirá por un peligroso camino mientras descubre una antigua conspiración de más de 2000 años relacionada con la ciudad sagrada que podría cambiar el curso de la historia. Connely ha intentado dejar atrás su pasado al trasladarse para ponerse a las órdenes de su nueva jefa, Lynn Monahan. Una conspiración internacional que urga en los secretos más oscuros de la Tierra Santa donde no será el único que busque respuestas.SJ Clarkson ('Héroes', 'House', 'Dexter') es la directora del capítulo piloto de esta nueva serie de USA Network. El drama está protagonizada por Jason Isaacs ('Harry Potter', 'La semilla del diablo'), Anne Heche ('Nothing Left to Fear'), Lauren Ambrose ('A dos metros bajo tierra'), David Costabile ('Breaking Bad'), Richard E. Grant (Downton Abbey), Alison Sudol ('Transparent') y Regina Taylor ('The Unit'), entre otros.La miniserie consta de 10 capítulos.
    
      ";Drama, Suspense, Acción
1677;Dime quién soy;"
    
              Amalia Garayoa es una mujer revolucionaria de la que se sabe muy poco. Justo antes de que estalle la Guerra Civil, Amalia huye de España dejando atrás a su marido y a su hijo, y nadie sabe el motivo que la impulsa a salir del país. La serie sigue la vida de Amalia durante gran parte del siglo XX, desde la Segunda República y la Guerra Civil hasta la caída del Muro de Berlín, pasando por la Segunda Guerra Mundial y la Guerra Fría. Basada en el libro homónimo de Julia Navarro, está dirigida por Fernando González Molina (Palmeras en la nieve) y la producción cuenta con Movistar+ en colaboración con José Manuel Lorenzo (DLO producciones).
    
      ";Drama, Histórico
1678;Dimension 404;"
Dimension 404 es una serie antológica de ciencia ficción que cuenta con una primera temporada de seis episodios de una hora de duración. A la usanza de La Dimensión Desconocida, cada episodio explora un nuevo y original tema; en uno, las bebidas energéticas pueden causar el apocalipsis, mientras que en otro, un dibujo animado puede contener el secreto para hacer posibles los viajes en el tiempo.Inspirada por variadas antologías de ciencia ficción y por la noción de que la red de redes es, en efecto, un lugar único y extraño donde casi cualquier cosa es posible, Dimension 404 lleva al espectador en un viaje a través de todo el género de ciencia ficción. Desde acción y aventura hasta alcanzar tonos de comedia de terror, Dimension 404 toma distintos elementos para sorprender y aterrorizar a los espectadores.Creada por Dez Dolly y Will Campos, junto  a Dan Johnson y David Welch, esta serie recibe el nombre del infame código de error que aparece cuando una página web no se encuentra. Freddy  Wong, de la conocida productora RocketJump, también produce esta ficción desarrollada para Hulu.
    
      ";Drama, Ciencia ficción
1679;Dinotren;"
'Dinotren' sigue al pequeño dinosaurio Buddy. Adoptado por el Sr. y la Sra. Teranodón, Buddy comenzará una nueva vida junto a sus recientes hermanos: Tiny y Shyny. Esta familia vivirá un sinfín de aventuras a través del Dinotren, una especie de transporte que les llevará por todos los rincones del mundo en el que podrán conocer y explorar todo acerca de los dinosaurios.
La serie es una ficción animada que fue creada por Craig Barlett y producida por The Jim Henson Company. Se trata de una serie orientada al público infantil que ha sido realizado por ordenador. El título original de esta producción de dibujos animados es 'Dinosaur Train'.
";Animación
